,id,coin,name,type,algorithm,network_hashrate,difficulty,reward,reward_unit,reward_block,price,volume,updated
0,14c3fe48ff9f40cdb6e3619a3f421c2b9512058f,0XBTC,0xBitcoin,coin,Solidity-SHA3,-1.0,8443546542.0,2.5413103383046e-12,0XBTC,25.0,0.085514506862686,132033.7517346,1690131253
18,fa2c3f9a39431bfa7bbfc9752d804b5108e4efcc,ABS,ABS,coin,Lyra2REv2,435500000.0,11.063057003531,5.6823601077423e-08,ABS,0.75,0.00060633,,1690131268
19,32e802075534a5d87f8a43dcbcc19826ca6c790e,ACM,Actinium,coin,Lyra2z,2802585425.2754,101.4811185511822,2.064892290114e-07,ACM,25.0,0.0024528266743538,27.216837314927,1690130542
21,effc27c416f72911962bfe5a37ba3ac4189e5170,AE,Aeternity,coin,CuckooCycle,41830.0,166810.0,0.030214015946286,AE,58.8,0.037426871375673,79190.024730314,1690131252
22,e0611227fff958e9761e0da3a350796d2847aec8,AION,Aion,coin,"Equihash(210,9)",99638.189473684,946562.8,0.0087284224564921,AION,4.5,0.0022121132074783,2240.2465168939,1690131257
23,16c7727a3487066c61f818a9980ccaa05aa3cff6,AKA,AKA,coin,Ethash,1691970906.6667,13958759980.0,1.2895128239034e-06,AKA,5.0,0.00083369,,1690131252
24,8038be3566a008bc7bf19f38f2c89e8ec9b8addd,ALPH,Alephium,coin,Blake3,59289456607232.0,3794525222862800.0,4.0985364667748e-11,ALPH,2.7,0.21432453915778,22448.863960915,1690131257
30,45f387514e983dc76da9b14990e648d0c440e766,APX,APX,coin,X16Rv2,5.0,38.65961849545817,1.084064392995e-07,APX,2836100000.0,0.0,0.0,1671016350
31,ab6982445ec1bf93546692b10d33d4b1ddf7deb9,ARC,Advanced Technology Coin,coin,X11,4015900000.0,625.69799117942,8.2412933381757e-09,ARC,6.15201653,0.01302655,,1690131273
32,b47e51f3608bb8c4fee7c2d7e6e7582cf56aebf6,ARIEL,ARIEL,coin,KAWPOW,6037800000.0,114.7754699942533,7.6354712963567e-08,ARIEL,10.4554394,0.0,,1690131267
34,0355d3997f94c3abfa8f26ed031de71ec083405c,ARMS,2ACoin,coin,Chukwa,1053454.0,94810936.0,0.00012545847968424,ARMS,3.30412108,0.00056836,6.45,1690131253
35,bf3e4fe2e516f5bfbcf80464bb9628556a0a7813,ARO,Arionum,coin,SHA-512,-1.0,80643710061.0,-1.0,ARO,114.0,1.8844828359319e-05,4.1650839639767,1690131259
36,04d3fd2ffd57d56fac4fd39e374114460256523b,ARRR,Pirate,coin,Equihash,77781187.0,284676431.07734,3.161484063131e-06,ARRR,4.0,0.18311818896034,36911.534646817,1690131267
37,62dee3291e4ad4c638e201fee6c7d31dfa86296f,ARW,Arrow,coin,"Equihash(192,7)",33.32,3.4,4.306640625,ARW,597.0,9.891e-05,,1669398137
38,28020192b31afc25f62a7c1ab482db44c5b9910c,ATH,ATH,coin,Ethash,-1.0,1783160129.0,1.2113326026482e-05,ATH,6.0,1.989e-05,,1690131262
39,77e4c936803f0ecd946b406231876f564767db93,AVN,Avian,coin,X16RT,33665000000.0,362.745,5.7767186119308e-06,AVN,2500.0,4.0445808657381e-05,552.84189881221,1690131252
41,a638dbf10c05335cf57ad3d2d966fa76ce9e2294,BBR,BBR,coin,WildKeccak,67480.0,7400850.0,0.0010202244877278,BBR,2.097369,0.35649764253636,10089.363994312,1690131257
42,2030f62fc57349811081b2c29e2802b422d85832,BCD,Bitcoin Diamond,coin,BCD,2949506674738.3,413562.6816741,1.2667220023349e-10,BCD,62.5,0.18673742481734,4406.4962812592,1690131257
43,627a53ff2ebe79d72a07208bb7e87231675828b8,BCH,Bitcoin Cash,coin,SHA-256,3.03e+18,433448595562.4408,1.2088733057671e-17,BCH,6.25137783,249.46705358648,198503305.8188,1690131262
44,8cdd40b74983085d774f9b93098b6ad410405b0f,BCHC,BCHC,coin,Blake (2b-BCHC),0.625,2651.864720316033,1.9754738777126e-13,BCHC,56622780249.434,0.0,,1687321458
45,e0c731bc03bd5fe5f1bda451cf02f76afca41e9d,BCN,Bytecoin,coin,CryptoNight,-1.0,2159428944.0,2.0585247515326e-05,BCN,12.34788314,0.0004166335346077,14651.4814268,1690131257
46,2e6bbfb75d705a8c7c16eadb2b0597391677df54,BEAM,Beam,coin,BeamHashIII,274394.32994099,16042464.5,0.0089761769458801,BEAM,40.0,0.033521227157576,138785.63502386,1690131257
52,070c2b7b2dab640e0f062c5bd634b579c7c5e4d4,BIS,Bismuth,coin,BismuthHeavy3,-1.0,102.006486812,6.0320744228055e-11,BIS,3.75856273,0.032085664646611,207.87556509455,1690131257
53,99253da09486d43159864ea2daf5848dd9d6b8f5,BITC,BITC,coin,X25X,178718045.96768,2.7896039657465,2.1633788729911e-06,BITC,7.2,0.0,,1690131267
54,4ab9883f91ac5d4d56bf60e754372a21dd18f33b,BMB,BMB,coin,Pufferfish2,881293.66666667,26.0,1.6119044560653e-06,BMB,50.0,0.0,,1690131252
55,4c058f65cb4536e591a3406d523433f752a52bdd,BNBTC,BNbitcoin Token - minable bitcoin on BSC,coin,Solidity-SHA3,-1.0,264622.0,1.5837502497032e-10,BNBTC,50.0,0.016189185493697,,1690131252
56,fe23c256798d4bec35cbf62c65153d9e0b6180eb,BNODE,BNODE,coin,HoneyComb,3875635361.8231,138.54035574493,3.2094753373174e-08,BNODE,5.30478396,0.0,,1690131262
57,948116c1aaaa696ea60990aaba157fe8b339cbde,BOLI,Bolivarcoin,coin,X11,1393086468510.8,52496.568516006,8.9811975663768e-11,BOLI,5.625,0.002901580256008,215.83663211722,1690131262
58,f6d21ac6373d0cbb55c9e7362672391cfe6ec168,BSV,Bitcoin SV,coin,SHA-256,-1.0,87199572241.81349,6.0084354784507e-17,BSV,6.25076421,37.162595940974,48726878.326798,1690131257
59,5a480f68682e37e0551bef62275079dff17e1efc,BTB,BitBall,coin,Scrypt,3573300000.0,185.53658321,4.9940871604401e-10,BTB,0.110546,0.00025213296989171,16.071024379127,1690131258
60,a195fd59ce0ebc3f9b2d99b3c396ff198bcb4a5e,BTC,Bitcoin,coin,SHA-256,4.0467078083573e+20,53911173001054.0,9.7172611735041e-20,BTC,6.25,29968.745299169,14121397762.673,1690131252
61,69e79b2ab94b9449d866911eefa97f9f2b12954c,BTCMZ,BitcoinMono,coin,Chukwa,-1.0,8107510.0,16.711960752438,BTCMZ,37636.7747,2.6601e-08,0.935385,1690131252
62,5e17aaa26d26d4e18c10c027a94f36b9193d3773,BTCN,BitcoiNote,coin,CryptoNightLiteV7,-1.0,318174.0,0.03465179494239,BTCN,3.06258339,0.00066545517538822,,1690131252
63,79673b0dc32b9b8876731a5b10db1802852960c6,BTCZ,BitcoinZ,coin,Zhash,118062.96581996,2165.1122259683,1.2685633558887,BTCZ,6250.0,9.8363272427566e-05,16963.455866618,1690131263
66,a9644072e4a76fcb1b9521832abaa615deecadc9,BTX,Bitcore,coin,MegaBTX,444765000.0,19.106,3.4273850375615e-08,BTX,0.78125,0.036272457462959,63.960742295248,1690131258
67,b69f527affef35a6286c232dc93a571efa94e593,C0BAN,C0BAN,coin,Lyra2vc0ban,52290358383.52,389.65440356745,2.1511121380381e-09,C0BAN,1.0,0.0,,1690131265
68,4e5b95ef7d869c540bfcaae11883a08dfaeba5e9,CASH2,CASH2,coin,Blake (2b),0.463484061,100.0,3.8848785208538e-12,CASH2,5724161056.5778,0.00033738,,1682741173
69,3fb185a64f687c8d922e89be7a6aa37d650b47d0,CCX,ClearCryptos,coin,CryptoNightGPU,-1.0,259000000.0,8.3703474903475e-05,CCX,6.022,0.0108236,127923.0,1690131252
70,848f5b13eb3f8dc1f85e774983a3c570a62b65c2,CFX,Conflux Network,coin,Octopus,5673768663756.0,2836884331878.0,1.2743402849688e-09,CFX,1.002520915427,0.18733031720228,15956799.837247,1690131263
71,dea9bd3374f1b9e81bfbe2e0392819ba222ff30b,CHN,Chinet,coin,ProgPowZ,11853268765.0,1401536746576.0,2.5686090705755e-08,CHN,10.0,0.062231542631569,,1690131252
73,36d1ae382da84464510cc9e25576222dc5d5ba60,CKB,Nervos Network,coin,Eaglesong,1.5456481047982e+17,1.3671471233466616e+18,3.2063569231067e-12,CKB,1217.65601218,0.0028541129115562,2112424.5132497,1690131253
74,f918629785c7a8c7f548af953f2b26fd49dcd683,CLORE,CLORE,coin,KAWPOW,281156300000.0,3794.253769383603,5.2134866793705e-08,CLORE,236.0,0.0,,1690130902
75,7dbe375ca0ba5886d62a7408ac69910267e6f904,CMM,Commercium,coin,Equihash,-1.0,2256.0970903162,0.00019478735509428,CMM,1.00001379,0.0003478993166281,,1690131262
77,33b4348690a3745a0297e140688312ea28d43019,CTXC,Cortex,coin,Cortex,947.41510783919,12127.0,1.0390038756494,CTXC,3.5,0.15341547737399,3632981.2892733,1690131252
78,0a2ec5af67010e22f877c5ac8bb20bcb648cd041,DAE,Daefrom,coin,Ethash,5.0,62185113960.0,2.8945834225822e-07,DAE,5269924911.8644,0.00049636,,1682956459
79,d5504b55211bb42af5f08d01651f982c68f87552,DASH,Dash,coin,X11,2950213862660200.0,108145566.3166048,8.9506440957973e-15,DASH,1.154836145,33.702082350791,32497455.14878,1690131264
80,f8726335f3faec3a24cef1819ee40eb39e822248,DCR,Decred,coin,Blake (14r),5.4029721057717e+16,4212245693.6841,1.7558558654055e-16,DCR,0.88238866,14.814036815604,622622.59899701,1690131262
81,fe2db623c01e188773dca02f0b1644dd32c5711c,DERO,Dero,coin,AstroBWTv2,403000000.0,403754412.0,5.4835314096828e-06,DERO,0.615,3.9483569320862,29547.779949811,1690131257
82,23e12d77a02b0ea20c525874156e081304330100,DGC,Digitalcoin,coin,X11,-1.0,286.423327756342,7.3160095209404e-09,DGC,2.5,0.00209679,1.63,1690131257
83,c830c5483da5adf9cd55208469273b062c0787e0,DGC,Digitalcoin,coin,Scrypt-ld,-1.0,20.6081361611804,1.016819656322e-07,DGC,2.5,0.00209679,1.63,1690131269
84,d84d63b8aecc4fa6d7e88be2749bce442eda7059,DGC,Digitalcoin,coin,SHA-256,-1.0,463481.472693457,4.5211640946665e-12,DGC,2.5,0.00209679,1.63,1690131263
85,2d5df2f794082c8d7ad42f95d133f7814f7c15ad,DIME,Dimecoin,coin,Quark,369345603.5656,2756.4622773199,0.0011169974636363,DIME,14349.0,6.8817480241525e-07,46.189724447271,1690131262
88,d75170a3989d6fb321cabd7c3ad38cae543afcba,DNX,Dynex,coin,DynexSolve,1274917027.4,152990043287.0,4.1285039629352e-06,DNX,175.45,0.56659702402916,2740360.6140442,1690131252
89,85a62c0c8ad7e1ec0a7563e1c41779ec2e3c758a,DOGE,Dogecoin,coin,Scrypt,850946032342840.0,12397754.0,6.7645094857716e-10,DOGE,10005.45136575,0.072303647855295,214743596.20967,1690131268
100,0b3b7a892eb5c9dd64860df137ed3d3a353c54aa,DYNAMO,Dynamo Coin,coin,Dynamo,1.0,14.039214833051,5.9703503872643e-08,DYNAMO,-1.0,0.00778258,8.42,1683567012
101,8f443f679a8403217f9d663734be1ffc4dc3dc9a,EFL,e-Gulden,coin,Scrypt,110156511.44308,5.2467727907725,1.9501157673918e-09,EFL,0.01220703,0.10185736532395,18.843612584931,1690131262
102,7f44d4027294f8c2b4c88112c1c0e55fe40d8082,EGAZ,EGAZ,coin,Etchash,-1.0,99010538275.0,7.2719531935097e-08,EGAZ,2.0,0.0,,1690131257
103,52bbbfcd19d80f7a2b792b74d44e5535e2a5d40c,EGEM,EtherGem,coin,Ethash,8362092297.0,97803031511.0,9.2021687476914e-09,EGEM,0.25,0.0011681060232615,59.193011006839,1690131252
104,7995c3996665afa7d3e0138f51aa68f50b22dac3,ELA,Elastos,coin,SHA-256,295102413010.88,8325455566991.1,8.2442572874354e-20,ELA,0.81887366538,1.2824228268854,265627.48408726,1690131261
105,f78155a29b7e0e14cf730fe74b7a5ff7f3b9ea37,ELH,Elhereum,coin,Ethash,12038312170980.0,242119105090.0,6.9237850259058e-18,ELH,2.0,0.0065790617985226,,1690131267
106,17e3ae05c639de9c018653e25b02f44a610e5cf4,EPIC,Epic Cash,coin,RandomX,22054147.0,1351299627.0,4.8550594323519e-06,EPIC,1.8224,0.45634696791529,9932.2342649875,1690131263
107,6e9fedf022a2f5575975725e3f92dfd426688cac,ERG,Ergo,coin,Autolykos2,20094368124959.0,2295904832847872.0,5.6448332764404e-11,ERG,36.0,1.1780625100506,174318.68724469,1690131267
108,d5f0809ea3dce77168e2642a5c8e04cbe69d6c11,ESN,EscudoNavacense,coin,Ethash,15481296.185465,100711714579.0,1.787279670021e-07,ESN,5.0,0.00019101,,1690131263
109,d0fe70aab1f465109a7b4d18c17f6a99e3aafb13,ETC,Ethereum Classic,coin,Etchash,138078002764318.0,1891599598869777.0,4.8720670090576e-12,ETC,2.56,18.729906258999,146403109.85411,1690131268
110,5d55e24ca2c72eb897586fd40a753816a4241df2,ETF,EthereumFair,coin,Ethash,312470000000.0,4062162499386.0,8.8622747133925e-10,ETF,1.0,0.092507,756405.0,1690131262
111,2a3d8172d8c8acb50b5d1df8b74b7282a7ff91d3,ETHO,Etho Protocol,coin,Ethash,-1.0,138314361997.0,7.8082997629951e-09,ETHO,0.3,0.016128533630748,328790.98404811,1690131268
112,a15483b83fbdb620029dd6c9479899e1fd00aa36,ETHW,Ethereum PoW,coin,Ethash,-1.0,140431542281729.0,5.127053283767e-11,ETHW,2.0,1.8122488374523,1036444.314006,1690131262
113,e26b88ed34eca1eac5fad8d43f3c434c5c0d7f1f,ETP,ETP,coin,Ethash,11796906625.615,302213153935.0,1.3107106558479e-08,ETP,1.10031667,0.0,,1690131277
114,16c8dc42aea188a2aa2d271a6a1c9bbe4ac32714,EVR,ENEFTIVERSE,coin,EvrProgPow,44289549901.122,642.03024323113,3.2640883401404e-06,EVR,2500.2,0.0,,1690131262
115,c82254b2e0eed9a8ed1c2e06b8d834f918c36e3c,EXCC,ExchangeCoin,coin,"Equihash(144,5)",4.05875266,49729.1886122,0.0045909624406981,EXCC,21246.824467978,0.0060344328561817,58158.840645948,1681568308
116,3be98e281e310d9389ec619868626378e7f06232,EXP,Expanse,coin,Ethash,13731482417.319,315549465950.0,4.5634683477112e-08,EXP,4.0,0.00269587,64.44,1690131263
